state,id,pollutant,val
AK,2,"1,1,2-TRICHLOROETHANE",0.0
AK,2,"1,3-BUTADIENE",0.0
AK,2,"1,3-DICHLOROPROPENE",0.0
AK,2,"1,4-DICHLOROBENZENE",2.555077064358974e-07
AK,2,"2,4,6-TRICHLOROPHENOL",4.557767095128204e-07
AK,2,"2,4-DINITROTOLUENE",0.0
AK,2,ACETALDEHYDE,0.000753052907163359
AK,2,ACRYLONITRILE,0.0
AK,2,ARSENIC COMPOUNDS(INORGANIC INCLUDING ARSINE),0.0
AK,2,BENZENE,0.005915300197836389
AK,2,BENZYL CHLORIDE,0.0
AK,2,BERYLLIUM COMPOUNDS,0.0
AK,2,BIS(2-ETHYLHEXYL)PHTHALATE (DEHP),3.2839253225128205e-05
AK,2,BROMOFORM,0.0
AK,2,CADMIUM COMPOUNDS,0.0
AK,2,CARBON TETRACHLORIDE,0.0
AK,2,CHROMIUM VI (HEXAVALENT),0.0
AK,2,ETHYLBENZENE,0.0013682614041765125
AK,2,ETHYLENE DIBROMIDE (DIBROMOETHANE),0.0
AK,2,"ETHYLENE DICHLORIDE (1,2-DICHLOROETHANE)",0.0
AK,2,"ETHYLIDENE DICHLORIDE (1,1-DICHLOROETHANE)",0.0
AK,2,FORMALDEHYDE,0.0044621034952661036
AK,2,HEXACHLOROBENZENE,1.0498118859692307e-05
AK,2,METHYL TERT-BUTYL ETHER,0.0
AK,2,METHYLENE CHLORIDE,2.1051038087179487e-07
AK,2,NAPHTHALENE,0.0015710419730608715
AK,2,NICKEL COMPOUNDS,0.0
AK,2,PAHPOM,0.0037047025414408464
AK,2,POLYCHLORINATED BIPHENYLS (AROCLORS),0.0
AK,2,TETRACHLOROETHYLENE,0.0
AK,2,TRICHLOROETHYLENE,0.0
AK,2,VINYL CHLORIDE,0.0
AL,1,"1,1,2-TRICHLOROETHANE",5.6056372402985065e-08
AL,1,"1,2-DIBROMO-3-CHLOROPROPANE",0.0
AL,1,"1,3-BUTADIENE",1.2976927319552245e-06
AL,1,"1,3-DICHLOROPROPENE",0.0
AL,1,"1,4-DICHLOROBENZENE",0.00011097333163143286
AL,1,"1,4-DIOXANE",2.6796899911940296e-07
AL,1,"2,4,6-TRICHLOROPHENOL",3.998553134955225e-06
AL,1,"2,4-DINITROTOLUENE",9.442311977820892e-06
